Dimension       Time    Gflop/s       GB/s        Error
        16   0.100539  19.892808 318.284936 0.000000e+00
        64   0.079669  25.105859 401.693752 0.000000e+00
       112   0.091800  21.793219 348.691498 0.000000e+00
       160   0.111285  18.035135 288.562160 0.000000e+00
       208   0.129686  15.543361 248.693773 0.000000e+00
       256   0.149094  13.503333 216.053327 0.000000e+00
       304   0.145692  13.884094 222.145502 0.000000e+00
       352   0.130741  15.345252 245.524029 0.000000e+00
       400   0.143379  14.283821 228.541139 0.000000e+00
       448   0.134934  15.992777 255.884436 0.000000e+00
       496   0.140163  15.670547 250.728748 0.000000e+00
       544   0.156055  14.442655 231.082485 0.000000e+00
       592   0.153700  13.498678 215.978855 0.000000e+00
       640   0.144667  14.496409 231.942544 0.000000e+00
       688   0.187116  13.923370 222.773926 0.000000e+00
       736   0.183376  13.044943 208.719094 0.000000e+00
       784   0.264010  10.951638 175.226200 0.000000e+00
       832   0.223307  10.316387 165.062195 0.000000e+00
       880   0.328829   8.289682 132.634920 0.000000e+00
       928   0.406505   7.863901 125.822413 0.000000e+00
       976   0.551452   6.743754 107.900066 0.000000e+00
      1024   0.311618   6.891398 110.262367 0.000000e+00
      1072   0.390985   6.301650 100.826395 0.000000e+00
      1120   0.454013   6.188933  99.022927 0.000000e+00
      1168   0.519535   6.133999  98.143987 0.000000e+00
      1216   0.604799   5.945928  95.134850 0.000000e+00
      1264   0.682005   5.922208  94.755328 0.000000e+00
      1312   0.774354   5.833000  93.327995 0.000000e+00
      1360   0.904939   5.559394  88.950296 0.000000e+00
      1408   1.023899   5.452314  87.237020 0.000000e+00
      1456   1.147289   5.380731  86.091698 0.000000e+00
      1504   1.256469   5.415290  86.644641 0.000000e+00
      1552   1.420385   5.263796  84.220740 0.000000e+00
      1600   1.623765   5.045065  80.721040 0.000000e+00
      1648   1.762281   5.079564  81.273028 0.000000e+00
      1696   1.952018   4.998316  79.973058 0.000000e+00
      1744   2.101866   5.047362  80.757784 0.000000e+00
      1792   2.139963   5.378210  86.051358 0.000000e+00
      1840   2.498293   4.987008  79.792133 0.000000e+00
      1888   2.752667   4.889701  78.235213 0.000000e+00
      1936   3.002007   4.834308  77.348935 0.000000e+00
      1984   3.220566   4.849788  77.596615 0.000000e+00
